College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
3019,University College of Engineering Panruti Chennai-Kumbakonam Highway Panikkankuppam Panruti Cuddalore District 607106,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,144.0,117,142,132,,,109.5,,
1216,Saveetha Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,MD,MEDICAL ELECTRONICS ENGINEERING,144.0,142.5,,134.5,,,100.5,,
2634,Excel Engineering College (Autonomous) NH-544 Salem Main Road Pallakapalayam Sankari West Post Komarapalayam Taluk Namakkal District - 637303,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.0,117,,123,,,,106,
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,IT,INFORMATION TECHNOLOGY,144.0,120.5,,,,,119,,
3807,J J College of Engineering and Technology Poolankulathupatti Post Tiruchirappalli District 620009,CS,COMPUTER SCIENCE AND ENGINEERING,144.0,133,142,123.5,,,95.5,,
4680,AAA College of Engineering and Technology Kamarajar Educational Road Amathur Village Sivakasi Virudhunagar District 626005,SC,Computer Science and Engineering (Cyber Security),143.5,135,136,,,,,,
2609,Mahendra Engineering College (Autonomous) Mahendhirapuri Mallasamudram Namakkal District 637503,IT,INFORMATION TECHNOLOGY,143.5,121,,132.5,,,99,112,
4957,Jayaraj Annapackiam CSI College of Engineering Nazareth Thoothukudi District 628617,IT,INFORMATION TECHNOLOGY,143.5,130.5,102,,,,90.5,,
2721,Tamilnadu College of Engineering Karumathampatti Post Coimbatore District 641659,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,143.5,132.5,,125.5,,,112,,
1110,Prathyusha Engineering college (Autonomous) Aranvoyalkuppam Thiruvallur District 602025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,143.5,132.5,,135,,,108.5,,
