College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1516,Thanthai Periyar Government Institute of Technology Bagayam Vellore District 632002,ME,MECHANICAL ENGINEERING,148.0,124.5,124.5,134.5,,,123,,
2715,Nandha Engineering College (Autonomous) Pitchandampalayam Post Erode District 638052,SC,Computer Science and Engineering (Cyber Security),148.0,141.5,124,134,,,,106.5,
2707,Erode Sengunthar Engineering College (Autonomous) Thudupathi Post Erode District 638057,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.0,136.5,,120,,,,,
2776,R V S Technical Campus-Coimbatore Kumaran Kottam Campus Kannampalayam Sulur Coimbatore District 641 402,CS,COMPUTER SCIENCE AND ENGINEERING,148.0,139,125,134,,,115,98,
1413,Sri Venkateswaraa College of Technology Sirukulathur Vadakkal Village Pondur Post Sriperumbudur Taluk Kancheepuram District 602105,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.0,117,119.5,115.5,,,,,
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura Sankarapuram Village Kancheepuram District 631605,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.0,121.5,,127,,,110,,
2762,Jansons Institute of Technology Karumathampatty Somaur Coimbatore District 641659,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.0,141,106.5,97.5,,,,119.5,
2727,Sri Shakthi Institute of Engineering and Technology (Autonomous) L&T Bye-Pass Venkitapuram Post Comibatore District 641062,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,147.5,143.5,140.5,138,,,,,
2726,SNS College of Technology (Autonomous) Kalappatti Post Coimbatore District 641035,BM,BIO MEDICAL ENGINEERING,147.5,135,146.5,130.5,,,,125,
4971,St. Xavier's Catholic College of Engineering (Autonomous) Chunkankadai Nagercoil Kanyakumari District 629807,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,147.5,137,146.75,106,,,,,
1216,Saveetha Engineering College (Autonomous) Thandalam Sriperumpudur Taluk Kancheepuram District 602105,AG,AGRICULTURAL ENGINEERING,147.5,131,128.5,133.5,,,122,,
5017,University College of Engineering Ramanathapuram Pullangudi Ramanathapuram District 623513,CS,COMPUTER SCIENCE AND ENGINEERING,147.5,129,,132.5,,,107,,
4917,Sethu Institute of Technology (Autonomous) Kariapatti Post Virudhunagar District 626115,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),147.5,136.5,144,122.5,,,,,
4960,Mepco Schlenk Engineering College (Autonomous) Sivakasi Virudhunagar District 626005,ME,MECHANICAL ENGINEERING,147.5,127.5,138.5,116,,,,,
2722,Sri Krishna College of Technology (Autonomous) Kovaipudur Post Coimbatore District 641042,CE,CIVIL ENGINEERING,147.5,142.5,146.5,132,,,109.5,108.5,
