College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
2618,"Sona College of Technology (Autonomous), Suramangalam Post, Salem District 636005",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,163.0,154.5,139.76,151.5,,,,,,2022
4972,"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",CS,COMPUTER SCIENCE AND ENGINEERING,163.0,134.0,,,,,,,,2022
4972,"AMRITA College of Engineering and Technology, Erachakulam Post, Kanyakumari District 629902",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,162.91,135.0,,,,,,,,2022
5530,"SSM Institute of Engineering and Technology, Kuttathupatti Village, Sindalaigundu Post, Dindigul District 624002",CS,COMPUTER SCIENCE AND ENGINEERING,162.5,156.025,160.0,141.5,,,,,,2022
2726,"SNS College of Technology (Autonomous), Kalappatti Post, Coimbatore District 641035",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.5,154.0,149.0,144.0,,,,,,2022
1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.5,149.0,143.5,145.5,,,,,,2022
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",CS,COMPUTER SCIENCE AND ENGINEERING,162.5,148.5,161.62,133.5,,,117.5,91.0,,2022
2726,"SNS College of Technology (Autonomous), Kalappatti Post, Coimbatore District 641035",AL,Artificial Intelligence and Machine Learning,162.5,155.0,142.5,141.0,,,,,,2022
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.5,156.0,,137.5,,,114.0,,,2022
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CE,CIVIL ENGINEERING,162.5,150.0,84.0,137.5,,,137.0,,,2022
2620,"Vivekanandha College of Engineering for Women (Autonomous), Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam, Namakkal District 637205",IT,INFORMATION TECHNOLOGY,162.5,143.5,158.5,145.5,,,122.5,142.0,,2022
2723,"Velalar College of Engineering and Technology (Autonomous), Thindal Post, Erode District 638012",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,162.5,149.5,106.5,132.0,,,,,,2022
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600127",CS,COMPUTER SCIENCE AND ENGINEERING,162.285,144.0,,128.5,,,,,,2022
2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District 639113",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,162.0,156.0,91.0,153.5,,,,,,2022
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",AU,AUTOMOBILE ENGINEERING,162.0,156.5,136.5,134.0,,,,,,2022
