College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,200.0,199.5,198.5,199.5,,,197.5,195,191.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199,198,199,,,195.5,190.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199,197.5,198.5,,,197,196,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,199.0,198.5,198,197.5,,,195.5,190,194
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,198,196.5,196,,,190,190.5,181.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),198.5,198,197.5,197.5,,,193.5,191,193
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198,196.5,196.5,,,188.5,191,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,197.5,197.5,,,194,191.5,180.5
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam,Kanchipuram District-603110.",CS,COMPUTER SCIENCE AND ENGINEERING,198.5,197.5,197,196.5,,,191.5,184,178
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.0,197.5,197,197,,,193.5,191,193.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.0,197.5,196,197,,,193.5,188,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.0,197.5,197,197,,,193,190.5,186.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,196.5,196.5,196,,,192.5,187.5,190
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.5,197,196.5,196.5,,,192,190,182.5
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,IM,INFORMATION TECHNOLOGY (SS),197.5,196.5,195,195,,,188.5,182.5,184
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,IM,INFORMATION TECHNOLOGY (SS),197.245,196.5,197,196.5,,,191.5,185.5,188.5
2007,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,CS,COMPUTER SCIENCE AND ENGINEERING,197.0,196,195,195.5,,,191,186.5,186
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.0,196.5,195.5,195,,,187.5,186,176.5
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam,Kanchipuram District-603110.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.0,196,196.5,195,,,189,178,170.5
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam,Kanchipuram District-603110.",IT,INFORMATION TECHNOLOGY,197.0,196.5,196.5,195.5,,,189.5,178,
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,CG,Computer Science and Engineering (Artificial Intelligence and Machine Learning) (SS),197.0,196.5,,195.5,,,187.5,183,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EL,Electronics Engineering (VLSI Design and Technology) (SS),197.0,196.5,194.5,195.5,,,191,,164
5008,Thiagarajar College of Engineering (Autonomous) Tirupparankundram Madurai District 625015,CS,COMPUTER SCIENCE AND ENGINEERING,196.5,195.5,193.5,195,,,188,182,
2007,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,196.0,195.5,195.5,194.5,,,187,186.5,
2007,Coimbatore Institute of Technology (Autonomous) Civil Aerodrome Post Coimbatore District 641014,CM,COMPUTER SCIENCE AND ENGINEERING (SS),196.0,196,195,195,,,185.5,184.5,173.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.0,195,194.5,194.5,,,187.5,,163
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,196.0,194.5,194,195,,,188.545,186.5,
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,196.0,195.5,194,194.5,,,186.5,185.5,168
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,196.0,193.5,190.5,194,,,191.5,175.5,168
2377,"PSG Institute of Technology and Applied Research, Avinashi Road,Neelambur, Sulur,Coimbatore -641062.",CS,COMPUTER SCIENCE AND ENGINEERING,196.0,194.5,194,193.5,,,181.5,179,171
