College Name,Branch Name,2022,2023,2024,Predicted_2024
Adhiyamaan College of Engineering (Autonomous) Hosur Krishnagiri District 635109,INFORMATION TECHNOLOGY,,159.5,,
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109.",Artificial Intelligence and Data Science,,,160.0,
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109.",COMPUTER SCIENCE AND ENGINEERING,,,161.0,
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109.",Computer Science and Engineering (Cyber Security),,,145.5,
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,148.0,
"Adhiyamaan College of Engineering (Autonomous), Aeri Campus, Dr.M.G.R.Nagar, Hosur, Krishnagiri District-635109.",INFORMATION TECHNOLOGY,,,151.0,
"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",COMPUTER SCIENCE AND ENGINEERING,162.0,,,
"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",ELECTRONICS AND COMMUNICATION ENGINEERING,141.5,,,
"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109",INFORMATION TECHNOLOGY,161.0,,,
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.",Artificial Intelligence and Data Science,,,158.0,
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.",COMPUTER SCIENCE AND ENGINEERING,,,159.0,
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,144.5,
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,152.5,
"Adithya Institute of Technology (Autonomous), S.F.No. 348/1,349/1, Kurumbapalayam, SS Kulam(PO), Coimbatore-641107.",INFORMATION TECHNOLOGY,,,155.5,
Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,145.0,,
Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,COMPUTER SCIENCE AND ENGINEERING,,147.0,,
Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,ELECTRICAL AND ELECTRONICS ENGINEERING,,128.5,,
Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,ELECTRONICS AND COMMUNICATION ENGINEERING,,136.5,,
Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,INFORMATION TECHNOLOGY,,138.5,,
"Adithya Institute of Technology, Kurumbapalayam Village, Coimbatore District 641107",COMPUTER SCIENCE AND ENGINEERING,142.0,,,
"Adithya Institute of Technology, Kurumbapalayam Village, Coimbatore District 641107",ELECTRONICS AND COMMUNICATION ENGINEERING,125.5,,,
"Adithya Institute of Technology, Kurumbapalayam Village, Coimbatore District 641107",INFORMATION TECHNOLOGY,149.0,,,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",Artificial Intelligence and Data Science,,,157.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",BIO MEDICAL ENGINEERING,,,136.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",COMPUTER SCIENCE AND ENGINEERING,,,154.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,148.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,158.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",INFORMATION TECHNOLOGY,,,145.0,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",MECHANICAL ENGINEERING,,,125.5,
"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",Mechatronics Engineering,,,142.5,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,149.5,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,BIO MEDICAL ENGINEERING,,132.0,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,COMPUTER SCIENCE AND ENGINEERING,,149.0,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,ELECTRICAL AND ELECTRONICS ENGINEERING,,140.0,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,ELECTRONICS AND COMMUNICATION ENGINEERING,,145.5,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,INFORMATION TECHNOLOGY,,144.0,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,MECHANICAL ENGINEERING,,125.5,,
Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,Mechatronics Engineering,,134.0,,
"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,148.5,,,
"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",COMPUTER SCIENCE AND ENGINEERING,152.0,,,
"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",ELECTRICAL AND ELECTRONICS ENGINEERING,131.5,,,
"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",ELECTRONICS AND COMMUNICATION ENGINEERING,138.0,,,
"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",INFORMATION TECHNOLOGY,158.0,,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,151.0,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,COMPUTER SCIENCE AND BUSSINESS SYSTEM,,134.5,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,COMPUTER SCIENCE AND ENGINEERING,,142.0,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,ELECTRICAL AND ELECTRONICS ENGINEERING,,120.5,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,ELECTRONICS AND COMMUNICATION ENGINEERING,,134.0,,
Akshaya College of Engineering and Technology Kinathukadavu Coimbatore District 642109,Mechatronics Engineering,,116.5,,
"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,142.5,,,
"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109",COMPUTER SCIENCE AND BUSSINESS SYSTEM,130.5,,,
"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109",COMPUTER SCIENCE AND ENGINEERING,136.5,,,
"Akshaya College of Engineering and Technology, Kinathukadavu, Coimbatore District 642109",ELECTRONICS AND COMMUNICATION ENGINEERING,120.5,,,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",Artificial Intelligence and Data Science,,,148.0,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",COMPUTER SCIENCE AND BUSSINESS SYSTEM,,,133.0,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",COMPUTER SCIENCE AND ENGINEERING,,,144.5,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,113.5,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,137.0,
"Akshaya College of Engineering and Technology, SF No.112/1CPT,114/1,115/1,116/2C, Bagavathipalayam Road,Kinathukadavu, Coimbatore-642109.",Mechatronics Engineering,,,113.5,
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,CIVIL ENGINEERING,,176.0,179.0,
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,COMPUTER SCIENCE AND ENGINEERING,,191.5,191.0,
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,ELECTRICAL AND ELECTRONICS ENGINEERING,,180.5,185.0,
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,ELECTRONICS AND COMMUNICATION ENGINEERING,,187.0,189.5,
Alagappa Chettair Government College of Engineering and Technology (Autonomous) Karaikudi Sivagangai District 630004,MECHANICAL ENGINEERING,,166.5,173.0,
"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",CIVIL ENGINEERING,176.01,,,
"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",COMPUTER SCIENCE AND ENGINEERING,192.5,,,
"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",ELECTRICAL AND ELECTRONICS ENGINEERING,182.5,,,
"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",ELECTRONICS AND COMMUNICATION ENGINEERING,190.0,,,
"Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",MECHANICAL ENGINEERING,169.5,,,
"Alpha College of Engineering, No.34, Udayavar Koil Street, Poonamallee, Thirumazhisai, Chennai - 600124",COMPUTER SCIENCE AND ENGINEERING,134.0,,,
"Alpha College of Engineering, No.34, Udayavar Koil Street, Poonamallee, Thirumazhisai, Chennai - 600124",INFORMATION TECHNOLOGY,130.5,,,
"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103",COMPUTER SCIENCE AND ENGINEERING,155.5,,,
"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103",INFORMATION TECHNOLOGY,145.5,,,
Anjalai Ammal Mahalingam Engineering College Kovilvenni Thiruvarur District 614403,COMPUTER SCIENCE AND ENGINEERING,,169.0,,
Anjalai Ammal Mahalingam Engineering College Kovilvenni Thiruvarur District 614403,ELECTRICAL AND ELECTRONICS ENGINEERING,,133.0,,
Anjalai Ammal Mahalingam Engineering College Kovilvenni Thiruvarur District 614403,ELECTRONICS AND COMMUNICATION ENGINEERING,,149.0,,
Anjalai Ammal Mahalingam Engineering College Kovilvenni Thiruvarur District 614403,INFORMATION TECHNOLOGY,,155.5,,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur District 614403",COMPUTER SCIENCE AND ENGINEERING,167.0,,,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur District 614403",ELECTRONICS AND COMMUNICATION ENGINEERING,147.0,,,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur District 614403",INFORMATION TECHNOLOGY,156.5,,,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.",COMPUTER SCIENCE AND ENGINEERING,,,172.5,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.",ELECTRICAL AND ELECTRONICS ENGINEERING,,,145.0,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.",ELECTRONICS AND COMMUNICATION ENGINEERING,,,159.5,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.",INFORMATION TECHNOLOGY,,,163.5,
"Anjalai Ammal Mahalingam Engineering College, Kovilvenni, Thiruvarur-614403.",MECHANICAL ENGINEERING,,,129.0,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,,185.0,,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,Artificial Intelligence and Data Science,,,189.0,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,COMPUTER SCIENCE AND ENGINEERING,,186.0,187.5,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,ELECTRICAL AND ELECTRONICS ENGINEERING,,173.0,176.5,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,ELECTRONICS AND COMMUNICATION ENGINEERING,,178.0,183.0,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,Electronics Engineering (VLSI Design and Technology),,,178.0,
Anna University Regional Campus - Coimbatore Maruthamalai Main Road Navavoor Bharathiyar University Post Somayampalayam Coimbatore District 641046,MECHANICAL ENGINEERING,,162.0,167.0,
"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,185.01,,,
"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",COMPUTER SCIENCE AND ENGINEERING,188.0,,,
"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",ELECTRICAL AND ELECTRONICS ENGINEERING,174.5,,,
"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",ELECTRONICS AND COMMUNICATION ENGINEERING,184.5,,,
"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",MECHANICAL ENGINEERING,158.5,,,
Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019,CIVIL ENGINEERING,,,146.5,
Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019,COMPUTER SCIENCE AND ENGINEERING,,177.0,179.0,
Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019,ELECTRICAL AND ELECTRONICS ENGINEERING,,156.0,163.5,
Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019,ELECTRONICS AND COMMUNICATION ENGINEERING,,170.0,175.0,
Anna University Regional Campus - Madurai Kanyakumari National Highway Keelakuilkudi Madurai District 625019,MECHANICAL ENGINEERING,,137.0,144.5,
"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019",COMPUTER SCIENCE AND ENGINEERING,181.0,,,
"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019",ELECTRICAL AND ELECTRONICS ENGINEERING,151.5,,,
"Anna University Regional Campus - Madurai, Kanyakumari National Highway, Keelakuilkudi, Madurai District 625019",ELECTRONICS AND COMMUNICATION ENGINEERING,169.5,,,
Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai Tirunelveli District 627007,Artificial Intelligence and Data Science,,,182.5,
Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai Tirunelveli District 627007,COMPUTER SCIENCE AND ENGINEERING,,180.0,180.0,
Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai Tirunelveli District 627007,ELECTRONICS AND COMMUNICATION ENGINEERING,,171.5,175.5,
